username,content,sentiment
fuadhsn,"@irwan_fecho Berdasarkan edaran kemenkeu, ada kenaikan THR 2023 untuk guru dan dosen..dimana ditahun2 sebelumnya dalam THR tidak memasukkan tunjangan profesi, tahun ini memasukkan tunjangan profesi meskipun 50%",Negatif
AuslanderDon,"kemenkeu, kominfo, esdm, bpkp",Positif
ViezIkmar,@AqiaqiH Formula E terus di ributin..sementara Kasus 349 T di Kemenkeu di suruh stop...,Positif
Duke_of_Nowhere,"@Partono_ADjem @DitjenPajakRI @KemenkeuRI Sarjana cuma dikasih ratusan ribu. Sedangkan anak lulusan diploma STAN yg notabene ilmunya ga setinggi sarjana yg kerja di Becuk, Pajak, dan Kemenkeu gajinya di atas itu.",Positif
banten02,@NorthPapua2021 @prastow Kemenkeu ga berani sidak perusahaan Cungko Bata Ringan di cikande!! Unfaedah,Positif
agent_pin,@Jayabay19479190 Kalau ga ada kasus Mario aniaya David Ozora mungkin hal bgni ga terungkap. Sbnrnya kemenkeu itu ada menterinya ga ? Kl mmg ada bgm bentuk pengawasannya ?,Positif
KemenkeuRI,"Inflasi harga pangan bergejolak (volatile food) juga turun signifikan:⏬
Maret 5,83% (yoy)
Februari 7,62% (yoy)

Harga dan ketersediaan pangan akan terus dimonitor pemerintah pusat dan daerah.",Positif
CaturRp,@StopPlandemit Abis kemenkeu sekarang ganti kemenkes. Aduh cuannya ga pernah kering !,Negatif
thrashnotdead,"@CNNIndonesia Anaknya org Kemenkeu, beacukai, ada ga yg bisa berprestasi seperti ini. Ga da sih kyknya, semua taunya ngabisin duit negara doank",Negatif
c_zhepank,@fatmapuspita @PNS_Ababil Conflict of interest kan buat pegawai pajak/kemenkeu yg punya akses kewenangan. ASN lain kan ga ada. Jadi harusnya boleh2 aja,Positif
PowerInvestindo,"@FaGtng Gerombolan perampok uang negara dg sadis menyamar menjadi pejabat bumn
@KemenBUMN @kemenkeu @DitjenPK @ItjenKemenkeu @PPIDKemenkeu @Warta_BeaCukai @DitjendBeaCukai @DitjenPajakRI @smindrawatii",Negatif
bgenkstatham,"@KompasTV Keknya Inspektorat kemenkeu harus diperiksa kerjanya nih, mengingat betapa kacau sistem talent management nya, karena orang sebodoh ini bisa jadi pejabat🤬.
 statementnya macam org ga beradab Dan ga sekolah",Negatif
Putrabertuah,@MelesetDikit Pejabat2 Kemenkeu tajir2 ya...hanya ada di negeri kodok,Positif
JogeloJomrono,"@AndiSinulingga Kapan ya si Firli ini disambar petir?!!
Orang kok kelakuannya busuk banget. Kasus2 yg terang benderang :
-dana covid
-KCI yg duitnya bengkak
-food estate yg mangkrak
-349T di kemenkeu
-ektp
-harun masiku
@KPK_RI layak dibubarkan!!",Negatif
mutajir_mohamat,"@ramadanbudi18 @myputun Periksa sekjen kemenkeu pak @KPK_RI 
Non aktifkan SM, direksi dan PNS yg terlibat pencucian uang pak @FPKSDPRRI negara darurat korupsi...",Positif
SaifuddinSay,"@seruanhl Bersihin Kemenkeu dari Sri Mulyani. Menteri yg ternyata ""rumahnya"" penuh Koruptor dan maling pajak.

Ini yang PAS.",Negatif
heero52218780,"@ali_alisalim98 @mardigu024 Thun kmren pajak sampe melebuhi ada target, PNS Kemenkeu dpt bonus. Kok skrg THR d potong. Mbulet bgt",Negatif
heero52218780,@mardigu024 Katanya tahun kmren pencapaian pajak banyak sampe bagus2 bonus. Mbulet ini kemenkeu,Negatif
jatmiko_arik,@nabiylarisfa Maklum ditjen pajak dan menkeu kan rakus semuanya orangnya.. kerja cuman makan tidur tapi gaji selangit cuman di di kemenkeu @kemenkeu,Negatif
couoUmild,"@KemenkeuRI Min, bisa tolong jelaskan transaksi janggal 349 Triliun di kemenkeu?",Positif
Jhon20674090,"@SahLeoSin Kalau di total nggak nyampe 100T, bandingkan yg kebongkar kemenkeu 300T bro",Positif
muhsinsukandar6,"@ordinary_007 @__AnakKolong @jokowi @kemenkomarves @binofficial_ri Sudah diperdebatkan di DPRRI, tajam, terbuka.
Pr komentator, tdk lbh sedetail koreksi, sanggahan 
Pr Anggota Dwn Komisi tiga DPRRI.
Dn belum selesai.
Masih bnyk yg percaya kejanggalan itu ada.
Bkn Kemenkeu RI, tentunya para oknum.
Hongkong jg mengalami dmkian",Positif
bgdngterus,Huwaa pingin cepet2 desember mau apply magang kemenkeu n telkom 😇,Positif
OpletDaily,"Admin Twitter BeaCukai &amp; Kemenkeu / DJP semoga kalian diberikan kesabaran yang luas ya di bulan suci ramadhan ini

😂😂😂😂",Positif
pencetanlift,"@Askrlfess Admn sy lapor spt keterangan lebih bayar, sy ditelpon pegawai pajak, katanya tambahin aja nilai di penghasilan dalam negeri ditambah 9 juta, katanya bendahara gaji salah penginputan pemotongan pajak, sy konfirmasi ke kemenkes, dijwb, dpt spt dari kemenkeu,mhn solusiny @DitjenPK",Positif
sebulatbumi,@cabut1gratis2 @ariefpost @lekermilo @asaibrahim @arissuhada25 @tanyarlfes Dananya mandeg di kemenkeu. Pipa saluran mampet. Udah susah ngalir kemana2.,Negatif
MOSLEMSOLIDARI1,@mardigu024 @kemenkeu sibuk dengan kasus cuci uang @KemenBUMN sibuk nyuci minyak? Kok mirip2x ya saM? Maaf pertanyaan sontoloyo🙏 😊,Negatif
exeroboto,@mazzini_gsp David jadi pahlawan terkuaknya keganjilan 347T di Kemenkeu,Positif
kedondong2288,@firzahusainInc Itu yg jadi pertanyaan saya juga. Kenapa BUMN dan persh swasta harus mencari komisaris dari pejabat kemenkeu? Apa untuk backing?,Positif
t00mucht00young,"orang kemenkeu bayar pake keuris, kalo kemenQ pake Qris",Positif
mase_aga,"@windumuktiw @hrdbacot Apalagi BPKP juga bagian dari Kemenkeu yang kinerjanya sedang hangat disorot akibat kasus RAT. 

Padahal polemik KRL impor ini bisa jadi momentum buat mengangkat citra kementerian, sayang kesempatannya justru dilepas dengan mengambil sudut pandang yang berbeda.",Positif
verdian90,"@Restty_cayah Secara tidak langsung pengorbanan Davit Ats ijin Allah terbuka skandal Kemenkeu 349 T di tanah air, semoga cepat sembuh bro",Positif
NeilZurong,"@KompasTV Buat RAT kasus biasa, buat Rakyat Indonesia kasus yg luar biasa,karena  mampu mengungkap keserakahan dan kebusukan suatu instansi dan oknum"" di  Kemenkeu",Positif
bayurimbiasmoro,"@pn7l7h Ciri lembaga negara urusan duit (kemenkeu) tidak baik² saja adalah, kolom komentar IG SMI dibatasi, dia lagi gak nerima komentar dari orang (rakyat) yg bayarin gaji dia. Gimana ini pak @jokowi, bawahannya kok gitu? Rakyat butuh kasi kritik &amp; saran tanda kepedulian.",Positif
bayurimbiasmoro,"@narkosun Ciri lembaga negara urusan duit (kemenkeu) tidak baik² saja adalah, kolom komentar IG SMI dibatasi, dia lagi gak nerima komentar dari orang (rakyat) yg bayarin gaji dia. Gimana ini pak @jokowi, bawahannya kok gitu? Rakyat butuh kasi kritik &amp; saran tanda kepedulian.",Positif
BacotCook,"@nabiylarisfa Wewenang kemenkeu saking gedenya seolah olah semua mengeluhnya harus ke kemenkeu. Kayaknya memang harus dipisah antara penerimaan, pengelola anggaran, sama penentu kebijakan gak boleh semua di bawah kemenkeu. Jadi lebih jelas ke masyarakat.",Positif
BacotCook,"@nabiylarisfa Paham, cuman ditjen pajak gak ada wewenang sama sekali ngatur gaji/take home pay/penghasilan keseluruhan pns lain ataupun honorer. Bahkan kemenkeu sekalipun khusus untuk guru pemda/honorer pemda tidak ada kecuali balik sentralisasi kayak jaman orde baru. Paham, hanya salah jalur.",Positif
HidalgoHarmen,@Candra4smara Gak nyangka ya si bocil nan amit2 mario jd pembuka kotak pandora carut marut suap di kemenkeu n dalang dr terhambatny ruu perampasan aset.. Tp toleransi politik yg membuat daya tekan ke ketum2 jd berkurang bnyk.. Pmrinth gak punya bargaining position yg kuat aplgi mnjelng pemilu,Positif
hasrat_tanjung,@geloraco Kita lupa dengan isu Kemenkeu heheheh,Positif
shu040411,"@kemenkeu @beacukai @DitjenPajakRI mohon maaf ya kenapa lembaga yang lagi ada masalah, kita sebagai guru ASN kena imbas juga padahal kitamah udah g pernah tuh jula LKS,fotocopy dll kalo guru kira2 bisa kaya pajak dan cukai gimana coba.. gadai SK aja g cukup jadi kaya mereka..",Positif
nahiej,"Capek kali ga dimana2 bahasan masalah pns miskin sama pns kemenkeu. Dah gitu sama berita2 blunder kemenkeu. Kek capekkk kali anjrit cepatlah terjawab biar ga kek gini. Biar kelar, perbaiki.",Positif
AliJuanda180925,"@_natcchan @PartaiSocmed Terindikasi politis Krn,audit BPK udah ok g ada masalah tapi KPK terkesan ngotot terus
Modusnya nti Anies ditahan alasannya diselidiki,sampai pilpres selesai baru dikeluarkan alasannya bukti kurang 
Sementara yg jelas2 Kemenkeu 350T KPK mlh mingkem",Positif
receulv,@koala_arnan @karirfess kalo dibeacukai kemenkeu.ada gak yaa?,Positif
ddayyou_u,"Semua informasi mengenai keuangan negara dibahas secara terbuka serta disampaikan dengan transparan. Jika kamu ingin mengetahuinya, kamu bisa membuka situs web Kemenkeu.
Dengan adanya kejadian seperti ini, masyarakat harus selalu berhati-hati dan cermat dalam membaca berita.",Positif
missdiah2,"@alisyarief Dasar Watak Keblinger!
Sudah tau kau harus tarik pajak perusahaan bermasalah..
Kau ambil celah, demi memperkaya diri sendiri..

Konsultan pajak harus independen, tidak boleh melibatkan pegawai Kemenkeu.

kelakuan begini bikin hancur investasi di Indonesia,
Kalah jauh sama vietnam",Negatif
sederhanafcxoxo,"@fansbaksoaci @mazzini_gsp Ga cuma itu kinerja satu kementrian sekarang lagi di kulitin netizen, pajak, cukai, kemenkeu heuheu",Positif
p4piKRiS,@detikcom Soal aliran dana darimana kemana pasti bisa kelacak lah sama PPATK.... di Kemenkeu aja bisa kebongkar 349T.... wkwkwkwk 😅,Positif
MMehonx,@ch_chotimah2 @KPK_RI @firlibahuri @ST_Burhanuddin @mohmahfudmd @KejaksaanRI Gak Cuci Piring Dengan Mulut Kotor BuzzerRp Laknat.... Kamu Dah Kekenyangan Makan Duit Korupsi Dari Kemenkeu Tinggal Tunggu Waktu 2024 Sudah Dekat Tinggal Menggulung BuzzerRp Pemakan Duit Rakyat... Selamat Menikmati,Negatif
sangdatuk08,"@mardigu024 Kacau sekali ini ngurus negara ...
Mereka yg sering bermasalah @kemenkeu 
ASN yg kena korban ...
Hei SMI anda punya hati ga?

Mikir ga kamu, THR itu hak karyawan...uangnya dikemanain?",Positif
AndreasEdison72,"@BennyHarmanID Bung Benny, silakan anda bersama teman-teman anda beserta partai kalian melanjutkan niat kalian. Kami tidak akan mendukung pansus, tetapi mendukung PPATK, MENKOPOLHUKAM, &amp; KEMENKEU.",Positif
sukarja,"@BennyHarmanID Bukan cuma orang2 Kemenkeu,... Anggota partai juga...",Positif
umaralims,"Pejabat Negara di Negeri ini isinya ternyata banyak manusia Jahat amoralitas__
- Di Kemenkeu,Pajak dan Bea Cukai byk Maling.
- Di Istana ada tukang begal partai bersekutu dgn Iblis krn haus kekuasaan.",Negatif
Andi_not_death,"Polisi kasus Sambo dan sabu.kemenkeu kasus pencucian uang,plumpang kebakaran,pildun gagal,gubernur satu partai ngelawan pusat.....apalagi ke depan?",Negatif
Hanafi458800702,"Rakyat jelata
Mendengar pertemuan antara prof Mahfud MD dengan komisi III DPR RI, terkait dengan dugaan pencucian uang di jajaran Kemenkeu,kami rakyat mendukung sepenuhnya hal tersebut bisa dibuktikan dan di tindaklanjuti serta di proses secara hukum",Positif
PowerInvestindo,"@Jelli_cent Saatnya NETIZEN bongkar abiz pejabat2 busuk munafik yg kerjanya merangkap perampok uang negara
Hanya jaman now bisa bongkar kejahatan nya
@kemenkeu @DitjenPK @ItjenKemenkeu @DJPb_KemenkeuRI @smindrawatii @jokowi @mohmahfudmd",Positif
Bambang77197468,"@yangmi3prnew ✅
Serupa tapi tidak idem. Kasus FS menjadi pintu masuk bagi institusi Polri. Mario &amp; Alun2 jd pintu masuk ke kemenkeu (Pajak| Bea Cukai| Cuci uang),
DPR blm sahkan RUU sita aset Koruptor dstnya.
□ usai 17845 🇮🇩 tdk dijajah lg tetapi dijarah. Cm beda huruf",Negatif
WalterSimamora2,"@FirzaHusainID Ya ampun. Penghasilan satu orang komisaris SMI bisa menghidupi 1000 keluarga dengan gaji kepala keluarga 3 JT per bulan.
Bisa menghidupi 1000 keluarga x 4 (ayah ibu dan 2 anak) = 4.000 orang.
Selain itu beliaw jg dpt milyaran per tahun dr Kemenkeu.
1 kata utk hal ini =JIJIK",Negatif
PowerInvestindo,"@Jelli_cent BAJINGAN2 PERAMPOK UANG NEGARA DG JABATAN DI KEMENKEU, 
BERBAGAI CARA DILAKUKAN UTK MANIPULASI LAPORAN
NETIZEN BONGKAR ABIZ
@kemenkeu @DitjenPK @ItjenKemenkeu @DitjendBeaCukai @DitjenPajakRI",Negatif
BangCul15,"@AqiaqiH Dua tahun terakhir ini Pak Mahfud bongkar beberapa kasus.
Ada kasus Sambo, kasus Lukas Enembe, kasus  Transaksi Janggal di Kemenkeu, dll, 
awalnya banyak yg protes, tapi akhirnya malah jadi terbukti.",Positif
Joe_Richardo93,"@pn7l7h Hajar trus, bongkar trus sarang2nya biar tikus2nya pd keluar semua. Yg keberatan klu tikus di lembaga pemerintah dibongkar aplgi kemenkeu dir pajak dan bea cukai dgn alasan bikin gaduh dan ribut mreka2 ini jls kroni2 tikus tsb. Logika sj nmny mbngkar sarang tikus ya psti gaduh.",Positif
av0cadiess,"Jgn kan Kemenkeu, kantor bunda di Depag aja lahan basah bgt buat pungli sm gratifikasi bagian keuangannya. Exp lg thr, gaji 13 atau sertifikasi, mereka minta salam tempel biar dipercepat pencairannya wkwk hari ini aja minta takjil sm tambahan lebaran baru thr pns cair malem ini.",Negatif
RoyRojaya,@MARQUEZ__93 Terus nyengir dah semacam yg diundang di kemenkeu gitu 😅,Positif
masabudi5791,"@Dennysiregar7 itu berita kadaluarsa regar,,, yg lagi hot itu ,349T TPPU Kemenkeu,,, itu korupsi paling bangsat dimasa rezim ini dalam sejarah kelam NKRI,,,",Negatif
shiyaaap,@bagiwang @gfuzuli @eselon_musk @PNS_Ababil Yg 27 selain kemenkeu apa aja?,Positif
SporPolSing,"@SujarwoAja4 @Hulk_SlaluHijau @pdo3004 @YRadianto Hahahaaaa lu yang pakai kaca mata babi. Partai mana yang paling banyak korup Rezim ini😁?
Lu ngga mau bahas uang 300triliun kemenkeu?
Coba dong rangkum uang yang di garong di rezim ini😁😁😁",Negatif
TMSIHOL,@Ghurem2 @KejaksaanRI TUHAN mengungkapkan kebobrokan semua melalui peristiwa anaknya sendiri … artinya BERTOBATLAH .. Mana kepikiran masalah anak bisa mengembet ke seluruh kemenkeu .. Inilah jika TUHAN sdh muak. Dan jgn lupa PAK JOKOWI itu utusan TUHAN,Positif
lintang_ayoe,"@AirinDatangLagi @KPK_RI Jika berangkat dri pemeriksaan 3 orang (kunci) ini, bisa jd dpt membantu kotak pandora terbuka

*bersih-bersih Kemenkeu",Positif
BimoTjontong,"@kompascom Ini Kompas gak tertarik mengulik kinerja Irjen Kemenkeu, kenapa tidak bisa mengendus hal busuk ini.",Negatif
supian_ator,@Dennysiregar7 Rp349 T Kemenkeu JOKOWI Bungkam 😀😀,Positif
FbrYayan,"@Dongkol_lurah @teponkLK74 @korantempo transparan taek asu, noh 349T di kemenkeu suruh transparan",Negatif
amirsyahoke,"@emerson_yuntho @CherylTanzil @mazzini_gsp @cokro_tv @KemenkeuRI Kalo biasa berkecimpung dgn layanan Kemenkeu. Pasti paham sudah banyak perbaikan.
Memang masih jauh dari sempurna, tapi perbaikan itu nyata adanya.",Positif
super_sabs,@Partono_ADjem @DitjenPajakRI @KemenkeuRI Kurang satu mas @prastow siapa tahu teman2 di Kemenkeu mau tukeran barang satu semester dengan guru2 di kaki langit,Positif
BimoTjontong,@nasuhaalii @BPKPgoid @CommuterLine Analisa pekok BPK yg sama busuknya dg kemenkeu,Negatif
oot_bule,"@KompasTV Statement orang frustrasi, padahal efeknya luar biasa panik nya  buat negara terutama instansi di bawah @kemenkeu @DitjenPajakRI @beacukaiRI",Positif
MandarFahry,"@detikcom Yang darurat itu ""islamophobia org2 yg ada didalam pemerintahan""
Yang darurat itu ""pencucian uang 369T ditubuh kemenkeu""
Yang darurat itu ""pembengkakan biaya KCBJ""
Yang darurat itu ""moral para petinggi kemenkeu, bea cukai, dan dirjen pajak yg ga malu pamer harta yg ga wajar""",Negatif
losnojos,@detikcom Nyolong jam gak seberapa yg 340 trilliun kemenkeu gmn ceritanya,Negatif
truzlover,@gfuzuli @eselon_musk @PNS_Ababil Jawabannya adalah yang 70% adalah para esmelon  bukan berlaku buat semua. Kalian para umbi nggak 70% dari Kemenkeu tapi 70% dari esmelon kalian kayaknya....,Positif
Lyla138,@txtdaritax 3. Penerimaan pajak untuk bonus pegawai pajak dan kemenkeu lainnya.,Positif
collegemenfess,[cm] ada yg pernah magang di kemenkeu gaa kalo ada aku mau tanya tanyaa,Positif
JurnalAspirasi,"@Metro_TV @KPK_RI Rafael, awal dari bersih² Kemenkeu, kalau perlu disusul Rafael² lainnya. Bayangkan di Save Deposit Box, ada VALAS, inilah kiranya yg nyimpan valas itu, rupanya para pejabat, pantas RUPIAH selalu anjlok. Sialan betul tu pejabat, bikin sengsara rakyat (Rio).",Negatif
ariesuryana06,@mardigu024 Separo diambil curut kemenkeu,Negatif
DJPb_Kemenkeu,"Selamat untuk para pemenang!

#DJPbHAnDAL #lombapuisianakHBP19 #HariBaktiPerbendaharaan2023
#HBP19 #DJPbRCE",Positif
DJPb_Kemenkeu,"Kategori II TK-SD: 

🥇Juara 1 Shifwah Isytiyaq Tsabita, judul puisi Aku Bangga Menjadi Anak Indonesia
🥈Juara 2 Fariishta Hanna Diza, judul puisi Perjalanan @pringadisurya
🥉Juara 3 Axelea Brillante Widiprana , judul puisi Ayahku Pahlawanku @bwrengga",Positif
Firmanh01140519,@lelevalyn @kegblgnunfaedh Maybe...Krn gak mungkin dia gak ada simpanan yg susah di lacak..dan gak mungkin jg smua hartanya di sita...Krn ttp aja klo emg KPK mau FAIR dlm kasus ini abiisss pejabat di KEMENKEU terutama di dirjen pajak 😅,Positif
DJPb_Kemenkeu,"Kategori I SMP-SMA

🥇Juara 1 Sheren Gracelya Putri Wijaya, judul puisi Hati Seorang Srikandi Negeri 
🥈Juara 2 Hafizha Nayra Firdaus, judul puisi Lentera Jiwaku
🥉Juara 3 Hibriza Nail Hawwa, judul puisi Pulang Kampuang",Positif
KemenkeuRI,"Intinya, ekonomi syariah bertujuan untuk melahirkan sistem ekonomi yang adil, bermoral, dan berperadaban Islam.",Positif
WAHYU_UNIFORM,"@Ndons_Back @Masdjodi1 Walau Bliau tdk/blm mendukung Anies, tp mayoritas pendukung Anies mendukung langkah Pa @mohmahfudmd  membongkar kasus 349T di kemenkeu",Positif
MMisbakhun,Terakhir adalah transaksi keuangan mencurigakan terkait kewenangan Kemenkeu sebagai penyidik tindak pidana asal dan TPPU sebesar Rp 260 triliun.,Positif
KamsinaNuban,@democrazymedia Dan tak lupa kemenkeu,Positif
kluxkluk,"@tukangrosok22 padahal KPK punya alat kurang cangging gimana coba, kasus RAT saja yg bongkar nitizen.

padahal transaksi kemenkeu 349T kasus pencucian uang",Positif
FierCollec6141,"@Dennysiregar7 ganjar, erick, koster dan pdip gak ngaruh, yg ngaruh itu berita bom 349t kemenkeu",Positif
bagiwang,"@gfuzuli @eselon_musk @PNS_Ababil Grade Jabatan harus dipastikan pake yang 27 kelas. Terus bandingkan antar kelas jabatan yang sama, harusnya ketemu sih % Tukinnya berapa dari Tukin Kemenkeu",Positif
basukane,@democrazymedia Jd lupa deh kasusu 3xx trilyun di kemenkeu,Positif
eDzulfikar,"Wak ketum getol banget nelanjangin pns2 kaya 🤣

Dari kemenkeu ke BPN sampe pemprov DKI",Positif
Gozo0405,"@PartaiSocmed @kurawa Dia salah 1 yg dipanggil ke kemenkeu kemaren..

kita saksikan aja tingkah pola dia beberapa minggu ke depan karena sejarah akan berulang..",Positif
pinterpolitik,Persoalan berbuntut panjang setelah sorotan negatif hadir setelah dugaan transaksi mencurigakan ratusan triliun di Kemenkeu.,Positif
RoemahDjoeang45,"@SuratmanWirose1 @stevenkukuh1 Yupz di duga Mega TPPU dan Korupsi berjamaah 349T di Kemenkeu mengalir ke Partai politik.
Bila terbukti benar n didasarkan putusan pengadilan maka Parte biadab ini dapat dibubarkan dan ketua parte dihukum berat misal 20 tahun penjara.
TPPU n Korupsi lex specialis (pidana khusus)",Negatif
prenjakesuk,"@Ihendraone2 @AqiaqiH Kalau pak Mahfud bisa konsisten menyuarakan kebenaran seperti hanya di Kemenkeu, insyaallah beliau periode 24 jadi Mentri,semoga beliau Istiqomah sebagaimana aslinya,saat ini beliau sedang di ganggu jin jin nya mukidi",Positif
ashimkhair,"@skiesmark_ @PartaiSocmed belum tentu perjalanan dinas kan?
liat aja tanggalnya itu tahun baruan, perjalanan dalam kota apa tanggal segitu?
lagian kalau undangan juga gak mungkin di kempinsky, jelas banget ini pribadi.
perjalanan dinas tetap harus berpatokan ke SBM yg ditetapkan kemenkeu.",Positif
oposan007,"@BRajalalo @pengarang_sajak Org pinter kan org2 yg bayar pajak ininitu, yg akhirnya dinikmati oleh org2 jokowi di kemenkeu irjen pajak, plus utk bayar buzzer dongok spt temen lo @pengarang_sajak kan?? Nikmati lah🤣🤣🤣
Temen lo ngeluh berarti temen lo miskin, temen2 gw di as dan eropa sana santai bae...",Negatif
TriW1212,"@IndraKu57771683 @milkuenyar @PartaiSocmed @prastow Tapi smp ratusan trilyun bos...mikir...
Sekelas sri mulyani yang katanya bankir terbaik dunia... Trs usah 10 tahun praktek ny kek giti di kemenkeu dan bea cukai... Mikirrr..",Negatif
PowerInvestindo,"@_Rizmaya__ @NgkongRoses @KPK_RI Saatnya menkeu ungkap dan tangkap oknum pejabat kemenkeu yg bejat tak bermoral. 

GILA GAJI KOMISARIS BUMN RP 1M/BLN
KERJA APAAN??! 

TERNYATA BEGINI MODUS CARANYA PEJABAT MERAMPOK UANG NEGARA, 
BAGI2 JABATAN &amp; GAJI GILA2AN",Negatif
OwiOwl1,@SateTong Dia cuma salah satu dari 146 pejabat Kemenkeu yg terlibat KPPU,Positif
PowerInvestindo,"@_Rizmaya__ @NgkongRoses @KPK_RI Saatnya menkeu ungkap dan tangkap oknum pejabat kemenkeu yg behat tak bermoral
@kemenkeu @mohmahfudmd
@DitjenPK @jokowi @smindrawatii",Positif
doctor__fabre,Bu Sri harus berani memeriksa seluruh harta DJP untuk membuktikan ke masyarakat jika kemenkeu bersih.,Positif
coookieloaf,"agak malu sebenernya bikin question box serba serbi magang kemenkeu di ig 😭🙏🏻 

tp tolong jangan dibully atau dikatain sok bgt ya 🥹 lagi badmood ga siap berantem",Positif
lapas_cirebon,"Kegiatan pun dilanjutkan dengan pemaparan materi oleh narasumber dari Direktorat Jenderal Perbendaharaan (Ditjen PBN) Kemenkeu sampai pada sesi tanya jawab.

Lapas Cirebon
Kemenkumham Jabar
R. Andika Dwi Prasetya
#LapasCirebon
#KemenkumhamJabar
#RAndikaDwiPrasetya",Positif
nuurINTAN,"Baru tau kemensultan itu adalah kemenkeu, setelah kasus mario 😩",Positif
udinnsp12,"@HelmiFelis_ Selama KPK firli , indon gak akan pernah terberantaskan korupsi, malah semakin menjadi , contoh terjadi nya skrg, 349T di kemenkeu. Kpk bisa berbuat apa?????????????????

Beribu tanda tanya rakyat tak akan terjawab.",Positif
wongunner,"@bengkeldodo Swbaiknya Dukun2 pengganda Uang di rekrut Kemenkeu aja...
Agar pajak dihapuskan . 💰💰💰",Negatif
dioxx__,"Dilaporkan dgn tuduhan membuat gaduh dan membongkar transaksi besar di Kemenkeu.

MAKI, r u lost ur mind??!!",Positif
_cing,@aagunawan_ 12 taun makan gratifikasi dan kemenkeu cuman bilang udh dicurigai tpi gak ngapa2in,Positif
EddieKasri,@YudhiDharmawa14 @GeiszChalifah Seperti rezim yg memanfaatkan kekuatan tuk maling di Kemenkeu demi sahwat politik,Negatif
