userName,score,content,at
Jasdi Pantoris,5,Sangan membantu,2023-03-27 11:59:59
Bambang Irawan,5,Good,2023-03-27 11:58:45
Trio Lusiono,1,Masak gagal terus suruh pengkinian data ke bank tidak mempermudah malah mempersulit,2023-03-27 11:58:01
Varhan Uari,5,Aplikasi yang berguna buat saya,2023-03-27 11:55:54
Nuning 640,5,Amazing,2023-03-27 11:55:40
DINDA Cantik,1,Susah bgt verifikasi yaallah repot ribet,2023-03-27 11:43:07
Abdul Jaelani,5,Bagus membantu bagi yg jauh ke atm,2023-03-27 11:37:39
Irvan Muhammad,1,"seperti saya ini seakan2 teroris di negara sendiri,mau bikin atm aja di persulit.. masa sidik jari gak ke baca,udah mati donk gue... anehhh",2023-03-27 11:35:47
Irfan Septiawan,1,"Makin hari makin nggak bener nih aplikasi sinyal normal tapi indikator merah terus, tiap mau transaksi kok ada gangguan terus jadi males gunain mbanking bca",2023-03-27 11:35:10
illi sahili,3,Kok tidak bisa masuk ya.. dah 8x lho di coba buang2 pulsa sms aja .. payahhh,2023-03-27 11:34:17
ARIF SETIAWAN,5,Good,2023-03-27 11:07:48
Asef Fals,5,mantao,2023-03-27 10:25:42
Aliah Khoerunnisa,4,"apakah sekarang pindahin m bangking ke hp baru pakai verifikasi foto KTP, wajah dan alamat kita.",2023-03-27 10:08:06
Lukman Hakim,5,Membantu meningkatkan kepercayaan,2023-03-27 10:07:20
Wali Radit,5,Ok,2023-03-27 10:00:38
Tonny Liung,5,Thanks for help,2023-03-27 09:57:48
Suyudi YUDI,5,"Membatu transaksi dan memudahkan untuk debit, stortunai dan penarikkan, karena banyak titik ATM nya",2023-03-27 09:27:41
Agung Mardianto,1,"Gmn nie Sekarang mbanking sinyal nya kok merah trus...padahal sinyal kenceng,kalau pakai wifi bisa....mohon di perbaiki lagi...",2023-03-27 08:42:03
Wulan Yulianasari,3,Hmmm ga bisa Verif always gagal... Why? Kasih solusi dong...,2023-03-27 08:24:11
Sukron Yajid,5,Makasih BCA,2023-03-27 07:34:51
Rasikin Ikin,2,Kenapa verifikasi wajah susah banget ya gagal mulu udah nyoba berapa kali aja ga bisa2,2023-03-27 05:18:34
Aufa Luluna,5,Makin susah saja untuk verfikasi wajah,2023-03-27 02:39:13
Robby Azulgrana,5,Saya mau aktifkan mbanking lewat hp gimana cara nya,2023-03-27 02:12:10
Suy Adi,2,Tidak bisa Verifikasi ulang,2023-03-27 02:02:43
gandara andika saputra,1,Ribet . Verifikasi muka gagal terus . Udah pengguna bca dari lama . Selalu setia sama bca . Sekarang mikir beralih . Seperti ga di percaya sama mbca . Berkali kali gagal verifikasi . Padahal selalu transaksi pakai mbca . Sekarang malah ga bisa pakai semenjak ganti hp . Amit2 .,2023-03-27 02:01:37
RESTU,1,Ga bisa register pulsa abis,2023-03-27 01:11:58
Di Surya,1,Aplikasi BAGONG.. #pindahkebanklain,2023-03-26 23:42:55
Risty Nurs,5,Bestt,2023-03-26 23:03:02
agunabasukihariyono Jon,5,Ok,2023-03-26 22:34:50
PANDA Ginuk Ginuk,1,Parah suruh scan wajah tapi.stuk,2023-03-26 22:00:14
Eman Hermawan swj Hermawan swj,5,Aplikasi mantapppp,2023-03-26 21:18:24
Henti Aprilia Moningka,1,"Yaa Allahh,,,ribet banget harus bolak balik masuuk ga bisa2,hrus verifikasi wajah dan ga sukses2,sedangkan urgent banget harus transfer ke anak,knapa begini sih BCA mengecewakan bgt!!",2023-03-26 20:47:59
Putra Agung,5,Bagua,2023-03-26 20:44:34
Alfarizi achmad,5,Bagus banget ya,2023-03-26 20:34:25
Fina Septiarini,1,Sekarang kalo mau daftar m-banking harus verif ktp + foto padahal udah sesuai sama data tetep gagal terus masa tiap mau daftar mbanking harus ke bank untuk pengkinian data. Capek deh,2023-03-26 20:22:08
Muhammad Noval,5,Mantapp,2023-03-26 20:03:16
Rie Alexander,1,"Duh..bca jd nyebelin banget, sekarang mau login lagi susah banget,harus verifikasi wajah ,udah di coba puluhan kali gagal terus,,dulu gak kayak gini,,kesel banget dah...",2023-03-26 20:01:49
Fransiska Sitepu,5,Menguntungkan dan TOP,2023-03-26 19:27:10
Achmad Taufik,1,Ah ni gmn si di download ngk bisa bisa ...,2023-03-26 18:32:36
ASEP GUNAWAN,2,"Saya mengalami kendala, pada saat verifikasi wajah, udh 1jam lebih ga kelar2, tolong bantu saya dong admin, masa mau pakai MBanking sendiri aja ribet banget,",2023-03-26 17:33:02
Dhiqi Ubaidilla,5,Mantap tolong di pertahankan ke amanan ya,2023-03-26 17:05:34
Azi Wekwek,1,makin cacat aplikasi verifikasi kamera ga ke baca²,2023-03-26 16:53:13
Muslikhin Raffa,5,Good,2023-03-26 16:30:52
Jafar Gaming,1,Engga bisa login !! Selalu gagal kirim pesan login nya selalu gagal !!! Makin lemot aja.,2023-03-26 16:15:24
jen jen,5,"Nice good, thanks 👍🙏",2023-03-26 16:13:13
H Hendra Safari SE,5,Nice,2023-03-26 15:46:57
Syaefulloh asep,5,cukup membantu,2023-03-26 15:40:20
Chasani,5,Sangat membantu,2023-03-26 15:16:51
Fajar Fathur rahaman,1,Udah lama verifikasi kaga bisa bisa aneh banget udah abis pulsa 25k buat verifikasi,2023-03-26 14:46:01
Ace Seperpat,5,𝕓𝕒𝕘𝕦𝕤,2023-03-26 14:38:22
MaymanT top,4,Sangat membantu,2023-03-26 14:32:34
Akmal Solehudin,1,Ini kenapa si bca kdang bisa kadang engga nge tf kuota saya ada banyak jaringan stabil tapi di kotak sinyal mya terus aja merah ada masalah apa si co ga kek gini lah boss sayaa lagi buru buru kenapa ganguan kek gini,2023-03-26 14:06:58
Razemi Bahar,5,Saya suka Applikasi Ini....,2023-03-26 13:57:51
Reey Inuzuka,1,"Gak tau mau bilang apa, customer servicenya tidak memuaskan dalam membantu nasabah",2023-03-26 13:47:55
Rahmat Kurniawan,5,Sangat membantu utk transaksi cepat,2023-03-26 13:36:26
Listin Arista,5,Mantap bca,2023-03-26 13:06:43
Kopet Empete,5,"Ituu semua yang komeny gak masuk akal,makanya cari tau dlu kendalany jangan asal komen jelekk,kalo ngga tutor di YT banyak pasti bisaa,anehh emang orang""...!",2023-03-26 13:06:30
Asila Kenanga putri,5,Mau download muter muter terus y tunggu aj ah mudah mudahan bisa,2023-03-26 12:36:40
Ibrahim 23,1,"apa kah BCA mobile sedang mengalami gangguan? mohon untuk segera di perbaiki. . . verifikasi wajah untuk bca mobile kenapa harus datang ke kantor cabang? lalu fungsinya mobile BCA apa, apa tidak bisa langsung di foto dari HP untuk verifikasi wajah.",2023-03-26 12:34:50
lilik nusantoro,1,"Perifikasi wajah yang sulit,selalu gagal kurang bagus,jadi mlh lebih sulit",2023-03-26 12:08:11
Mohammad Yunus,1,"Sering eror,saya butuh uang cok",2023-03-26 11:43:20
Chanel Duloersabatoer,1,Ke amanan perifikasi wajah sangat menyebalkan. Ktp saya si buat tahun 2011 Sekarang udah tahun 2023 Wajah saya mana bisa sama.,2023-03-26 11:31:21
Adiba syakila,1,"masa setiap 1 minggu sekali saya harus verifikasi, kalau tanpa biaya si oke oke aja . padahal nomer mbanking gk pernah dicopot dari ponsel . eh ini nomer yg digunakan tidak sesuai . gimana ini solusinya . masa saya harus isi pulsa terus buat mbanking bca !! mulai kesel saya . saya tidak ada update aplikasi",2023-03-26 11:23:26
Dedi Dedi,5,Sangat membantu,2023-03-26 11:22:59
Hendri Rohendri,1,"Setelah seharian verifikasi muka selalu gagal,saya putuskan pindah ke bank mandiri aja yang ga ribet",2023-03-26 11:04:37
Waluyo Wel,1,Sangat kecewa dengan aplikasi ini..udh capek capek daftar gagal . Persyaratan udah semua apa lagi yg luramg....seharusnya dr hp aja harus bisa dooong.!!!! Malah di suruh login di ATM. ..lanjut di hp lagi.. Sampe nelp 1500888 tetap aja ga berhasil malah di suruh ke kantor cabang... ini maksudnya apa....???,2023-03-26 10:52:35
Mochamad Rizky,1,Tidak bisa login pas ganti device keterangan sinyal terputus,2023-03-26 10:37:05
S Seee,1,Pembuatan rekening sangat sulit bank suka korupsi masa SMS sudah terkirim saya tidak di arahkan ke menu selanjutnya,2023-03-26 10:20:15
Nurhasanah,5,Sangat membantu👍🏻👍🏻👍🏻,2023-03-26 10:02:12
Dinz Lee,1,Disuruh verifikasi ktp sama wajah. Eh malah gagal pas deteksi wajah. Emg di ktp sama muka beda lo bisa bedain? Malah disuruh diverif ke Kantor BCA nya. Gw tinggal di desa jauh semua tu kantor cabang bca di kota smua,2023-03-26 09:28:56
Rika Kartika,5,Paling mudahhh banget,2023-03-26 09:26:16
rio naldhie,5,👍,2023-03-26 09:15:01
Eko Hariyanto,1,Verifikasi gagal terus,2023-03-26 08:28:15
Setyo Priandito,1,masa scan wajah gagal terus perlu pake kamera canon kahh apk ku kira bca ternyata lebih mudah apk pinjol buat scan wajah,2023-03-26 08:13:33
adam Mokodompit,5,Baik,2023-03-26 07:43:25
agung gama,5,Bagusss,2023-03-26 07:36:50
Eka Darmansyah,1,"Selalu gagal verivikasi apk payah, padahal jaringan tidak ada yang bermasalah tolong perbaiki lagi dong apk ini dibuat kan untuk mempermudah nasabah ini malah tidak bisa digunakan!!!",2023-03-26 07:07:04
Edy Mulyono (Moel),3,Tidak bs rekam/selfie poto,2023-03-26 06:04:44
Agus Irwanto,1,"Ganti HP tidak bisa login bikin ribet klo harus datang ke kantor cabang, tidak seperti aplikasi bank lain lebih praktis.",2023-03-26 05:26:52
Novan Ardianto,5,Sulit mendapatkan kode otp,2023-03-26 04:43:14
Nue Ha Nue,1,"Untuk pengenalan wajah mending sekalian ga usah dipakai, sinyal setabil tp gagal terus verifikasinya susah amat, update kok malah ribet bgt,",2023-03-26 02:05:12
Umay Shiregar,4,Lumayan,2023-03-26 00:48:52
asep dhani hariansjah,5,"2023 ® ""Aktif dan Leluasa"" Periksa Transfer masuk/Metode pembayaran Google Play Store • Google Partner Setup ADVAN_X7_Pro (IDR). Customer Service/Nomor Kartu hanya SIM1/SMS/PIN login/Detektor hijau (RESET PABRIK karena virus/Malware).",2023-03-26 00:48:05
Syafruddin Maulana,1,"Transfer antar bank jadi ribet. Setelah mengikuti tahapan mengisi kolom bank yang dituju, kemudian diikuti dengan memilih rekening tujuan. Selalu diminta untuk mengisi bank tujuan lagi. Begitu berulang-ulang. Ribet bukan?",2023-03-26 00:09:41
Hasim Saja,5,Membantu bngt,2023-03-25 23:47:34
RICKY Raffles Residence,3,"Kenapa , Saya Tidak Bisa Login Ya Tiba - Tiba . Padahal , User & Passwordnya Sudah Benar ... 😊🙏",2023-03-25 23:16:45
Tologojer70 Story,1,Aplikasi Mbanking paling buruk diantara Mbanking Bank lain. Mau login aja pakai verifikasi muka gak pernah bisa login selalu gagal terus padahal posisi lagi urgent sekali. Hancur dah aplikasi mbanking BCA ini.,2023-03-25 23:05:38
Muhamad Jaroni,1,"kenapa ko aku isi token listrik pakai m banking pas di masukin gagal , tapi saldo udah ke ambil, gimana ni pihak tekait , rugi nih",2023-03-25 23:01:20
Dedy Miftahul,5,Bgus,2023-03-25 22:50:18
Hendrik Jaya,5,Mantap,2023-03-25 22:49:19
Muhammad Nur,2,Bca ini bagaimana ya verifikasi wajah kok gak bisa bisa. Ini mau mempermainkan nasabah atau bagaimana ya. Atau sistemnya yg masih kurang. Ganti aja bagian sistem seperti ini susah benar. Bukannya mudah kok malah sulit ya.,2023-03-25 22:43:23
aziiez sugiiarta,5,"Mau buka bca mobile suruh verifikasi ulang dan minta nmer 16 digit yg ada di kartu, saya belum buat kartu atm sementara ini masih m banking, gimanya caranya biar bisa buka m banking saya",2023-03-25 22:24:44
Steven Trisnadi,1,"kok jadi sering banget ya minta verifikasi ulang, padahal simcard masih sama 😤 jd pengen hapus aja rasa nya karena tiap verifikasi pulsa terpotong",2023-03-25 22:13:26
Abdul Kholiq,5,Mantul the best ponya,2023-03-25 22:00:42
Novi Rorong,3,"Akhir-akhir ini menggunakan aplikasi mobile banking BCA selalu trouble, mau lihat mutasi atau memasukkan nomor rekening baru untuk transfer tidak bisa, pesannya ""SEMENTARA TRANSAKSI TIDAK DAPAT DIPROSES, SILAKAN ULANGI BEBERAPA SAAT LAGI"" sampai dicoba berkali-kali tetap tidak bisa 🙏 Tolong penjelasannya, Terima kasih 🙏🙏🙏",2023-03-25 22:00:37
keke afrianda,1,Apk busuk dh 5k habis pulsa mau registrasi aja susah padahal jaringan indi home perbaiki lagi tu aplikasi jgn merugikan,2023-03-25 21:28:33
Ondy Liberty Munthe,5,Terimakasih,2023-03-25 21:19:21
Bank Benk,2,Sulitnya verifikasi ulang pulsa sampe abis banyak gagal terus 😭,2023-03-25 21:12:21
Yuana Yuni,5,Mntap,2023-03-25 21:02:51
RAJA CUAN,1,Aplikasi gak bisa dibuka,2023-03-25 20:59:13
Verawati vhe,1,Knpa bca saya error 205 aj y.. lampunya ngg mau hijau..sekalinya hijau ngg keluar aj..mohon infonya,2023-03-25 20:55:13
Vape Smok,5,Mantap,2023-03-25 20:17:20
Riyan Pangestu,5,Yyy,2023-03-25 20:09:29
raihan syawal,1,seriusan ini ga berubah?setiap sebulan sekali verifikasi kode akses?kacau si,2023-03-25 19:31:48
Afri Anto,5,Mantap buat rek online cmn seharian kelar langsung jmput 👍👍👍👍,2023-03-25 18:49:34
Ahmad Ridho,1,Tidak bisa melihat QR rek sendiri,2023-03-25 18:40:26
Lazi Official (Lazi official 15),4,"sebelum nya ferifikasi gampang dan oke bangat,tapi sekarang semenjak di update jadi harus bolak balik ke bank untuk ferifikasi wajah doang,(dari mudah malah jadi payah)...BCA taulah apa yg harus dibenahi di apk nya",2023-03-25 17:20:39
Cita Cita Zuey,5,Sangat memuaskan,2023-03-25 16:44:07
bapak pucung,5,membantu,2023-03-25 16:01:18
Syahada Allya,1,ngirim sms terus tapi ngulang lagi dri awal untuk pembuatan rek baru..udh ga jaman sms ini masih pake sms..ngabisin pls aja lol,2023-03-25 15:56:22
Junaidi Junaidi,5,Baik 2 saja,2023-03-25 15:53:20
Raka Prasetyo,1,"Parah pulsa sudah kena 10.000 verifikasi gagal,jangan download,ngabisin pulsa saja",2023-03-25 15:28:43
Imam Mawardi,1,Verifikasi wajah gagal terus,2023-03-25 15:24:42
Rahmat Setyawan,1,Verifikasi wajahnya gk bisa,2023-03-25 15:22:16
Vtech Rifan,5,Bagus,2023-03-25 14:53:26
Saiful Munir,5,menjadikan hidup lebih simple,2023-03-25 14:28:49
asep anwar,5,Oke,2023-03-25 13:52:57
Angga Permana,5,Lemot,2023-03-25 13:35:00
Muhamad Ramdan,1,"Dulu d reset HP nya masih gampang buat login lagi, dulu di reset karena memory penuh trus,, Sekarang saya reset lg hp nya,sekarang utuk login malah rumit,,, malah ada verifikasi wajah, hp saya gagal terus untuk mendapatkan wajah, alasan kurang terang, padahal udah full contrast, tetap saja gagal. Dengan adanya aturan seperti ini dipikirnya kamera hp nasabahnya bagus semua... Yang ada Malah mempersulit nasabah, kalau sudah seperti ini bagaimana solusinya?",2023-03-25 13:30:00
El Dinz,1,"Kenapa ini astaga Smpe berapa x vrifikasi muka tetap aja gak bisa ....maksud nya gimana sih ,lama2 jadi males pake BCA ini 😡😡 Udh ada sebulan tetap vrifikasi muka trus udh jelas2 terang full sinyal😡",2023-03-25 13:08:57
Adii Kurniawan,1,"Ini gmn sih, saya buka m banking BCA gabisa, masuk trs logout lagi",2023-03-25 13:04:46
Fitri Simpa,3,Knp aplikasi nya semakin sulit. Padahal sudah scan ktp dan wajah. Tetapi trus gagal keterangan nya. Di ulangin trus kek gitu,2023-03-25 12:53:15
Tonny Tan,5,Best aplikasi.,2023-03-25 12:26:12
Ruby Rubian,1,Verifikasi m banking gagal terus kena di verifikasi wajah.. merepotkan.. butuh transaksi urgent jd terkendala.. apalg pas weekend gini,2023-03-25 12:15:20
Sri Nurhayati,4,Bagus,2023-03-25 12:00:43
Fatur Omen90,5,Sangat gampang walaupun sempat terkendala gagal verifikasi biometrik tapi begitu menghubungi hallo bca semuanya beres Terima kasih bca 18tahun menggunakan bca selalu puas dengan pelayanannya,2023-03-25 10:40:44
BOYZ,2,"Menurut saya BCA MOBILE mesti melakukan perombakan besar pada Aplikasi, karna tampilan pada aplikasi terkesan JADUL dan tidak menarik, masih bagus tampilan Livin MANDIRI, masa sekelas Bank BCA Swasta terbaik di Indonesia tampilan aplikasi msh seperti ini terus tolong diperbarui secepatnya dan buat tampilan yang bagus. 😡😤😠",2023-03-25 09:42:28
KRS Project,1,Setelah ganti hp susah banget aktivasinya,2023-03-25 09:40:56
Adi Nugraha,4,Kadang ada aja troublenya,2023-03-25 09:12:36
Jati Wibowo,5,👍,2023-03-25 08:54:10
suck_it jiwa,4,Puas,2023-03-25 08:09:59
Alpi Hadi,5,Bagusss sekali,2023-03-25 07:46:46
Doni Se,1,"Aplikasi bukanya memudahkan malah mempersulit,daftar ulang m bangking harus perifikasi wajah tapi selalu gagal,sudah hubungi hallo bca bukanya mempermudah malah tambah mempersulit harus datang langsung ke bank bca",2023-03-25 04:51:34
ADITIA JAYA,5,Baru daftar,2023-03-25 03:32:41
Cecep Adewa,5,Tolong utk pembayaran PAM dan PBB segera dicantumkan utk wilayah palembang sumatera selatan.,2023-03-25 03:17:37
Tatas Toyib,3,Kurang tanggung jawab,2023-03-25 01:47:08
Dian krisna Agustin,5,Bagus BCA,2023-03-25 01:20:24
Winandi Gusti Pratama,5,Good,2023-03-25 01:18:27
daniel setya,1,Kalah sama aplikasi lain verif harus ke kantor aneh lewat halo bca sama lama makin sini makin ribet,2023-03-25 00:54:02
JEMARUDIN BAYAH,3,"Kenapa ngga bisa masuk ke mbca, menggunakan jaringan/simcard lain, password benar",2023-03-24 23:12:12
dalley beans,2,Sangat di sayangkan segala fikturnya harus ke Kantor.. kanapa gak bisa langsung aktif untuk fiktur transaksi nya.. sedangkan kita kadang gak waktu untuk datang ke kantor.. BCA untuk mengaktifkan fiktur segala Transaksi.. Bank Laen gak seribet ini bagitu aktifin mobile banking ya segala Fiktur transaksi bisa langsung di pakai..,2023-03-24 23:03:44
Jo Jihan_assyifa,1,Ancur. Tidak bisa verifikasi,2023-03-24 23:02:24
Dede Ruswandi,4,Sangat membantu,2023-03-24 22:35:11
086 angga Nur Sopian,5,Mau apa apa jadi lebih mudah,2023-03-24 22:21:57
ariyanto -,1,Ini bca Mobile mau error sampai kapan bang,2023-03-24 21:29:52
Gatut Kaco,1,"Jeleeek, scan wajah tidak berhasil terus, udah datang ke cabang BCA udah bisa buka setelah saya coba hapus data aplikasi ternyata tetap sama ga bisa berhasil scan verifikasi wajah... Dah lah nyerah tolong perbaikin lagi yang bener-bener update nya... Biar ga bolak balik ke cabang BCA....",2023-03-24 21:21:51
Putra Purnama,5,"Memang mudah menggunaka app ini. Cuman sangat disayangkan, untuk layanan customer servis nya kurang begitu memuaskan. Saya menggunakan layanan 1500888, mengecewakan sekali. Operatornya tidak jelas dengan alasan suara ter putus2. Padahal sya sudah pindah2 tempat sana-sini. Hingga akhirnya pulsa ludes cuma untuk beberapa menit saja. (Hanya beberapa menit. Bukan belasan atau puluhan menit. HANYA BEBERAPA MENITTTTTTTTTTT...) TERIMAKASIH🙏",2023-03-24 21:10:07
asu matamundes,1,RIBET...,2023-03-24 21:09:36
Bogal footballClub,5,jos,2023-03-24 20:52:32
Download Film,5,Ok bangeeeed,2023-03-24 20:36:59
Rizky Dimas,1,vermuk vermuk gak jelas gagal trrussssssssss makin kesini makin kesana sistem BCA,2023-03-24 20:35:56
Abdul Halim,1,Tambah ruwet dan membingungkan tdk seperti yg dulu dulu,2023-03-24 20:31:01
Dewanti Triyani,4,Kenapa m-banking saya gagal verifikasi mulu,2023-03-24 20:22:44
Febrian Julianto,3,Bangus,2023-03-24 20:17:18
Sri Hero,4,"Tolong ya, saat masuk aplikasi disediakan verifikasi sidik jari dan tatap muka",2023-03-24 20:13:18
anita lest,1,GAK BISA LOGIN E BANKING BCA LEMOTTT PARAH,2023-03-24 20:11:54
Agung Ramadhan,1,Ngerepotin bgt verifikasi wajah segala klo mau verifikasi cukup dengan pin dan sidik jari aja mana verifikasinya gagal trs gajelas harus buang buang waktu ke kantor cabang buat ngurusnya,2023-03-24 20:10:30
Feri Chandra,5,Mantapp,2023-03-24 20:09:12
ARIF SEIKOTZY,2,"Tolong segera di perbaiki ya min ,dibagian verifikasi Poto nya ,Gagal terus soalnya ini udh coba 3hari gagal terus",2023-03-24 20:07:57
Kenzyr0 Santoso,1,"Sangat jelek parah masa akun bank sdiri masih di curugai emank saya teroris, kalo teroris mah sudah di tangkap",2023-03-24 19:46:08
Martin Scarpaa,5,❤️,2023-03-24 19:34:39
Daman Huri,5,Sangat membantu,2023-03-24 19:31:42
Riayadi Adi,5,Ok,2023-03-24 19:25:56
Muzanni Aan,5,Good,2023-03-24 19:16:43
Gilang Saputra,1,"Sekarang payah banget nih masa verifikasi wajah gagal trus, emg yg beda darimananya bukan soal apa"" Bru kmrin gnti hp dan mau pasang m bangking hari ini kok jadi gini payah banget kalo sukses gapapa ini malah gagal trus",2023-03-24 18:57:20
Kadek Bela,4,Sangat membantu.,2023-03-24 17:36:44
thiethiens samudera,1,"Sudah 2x pengambilan uang di ATM EB Batik panembahan cirebon, saya dapat uang ratusan ribu yang sudah tidak layak sobek2. Tolong dong di cek dengan baik lembar uang yang akan di masukan ke ATM..",2023-03-24 17:26:38
Jauh Dabwi,4,"Mau nanya pak, saya ini kan anak rantau terus mau buat bca, dan saya coba buat online kata cs nya harus ada domisili kelurahan bukan domisili rt rw, terus kalo saya mau buat di kantor cabangnya apakah harus ada domisili? Dan dokumen apa saja syaratnny?",2023-03-24 17:05:38
Azwar Atin,5,Perlu bimbingan,2023-03-24 17:02:57
DAVID ARIFIN NUGROHO,1,"Update sekarang kurang bagus ya, masa cuma ganti hp ga bisa login dihp baru, tolong benahi lagi sistem aplikasi nya, Bank besar masa seperti ini kualitas aplikasinya",2023-03-24 16:53:38
Okta Pajar,5,Hanya kesulita dalam perikasi wajah aja setia mau cek saldo dan kirim susah kli masa arus perikasi wajah aja ..tolong dong .bantu.nama.pajar oktarianto.,2023-03-24 16:26:14
Dohar S,5,Ok,2023-03-24 16:11:05
Andrean Maulana,1,Ok,2023-03-24 15:33:36
Tiara Fadzilah,1,Kenapa jadi jelek! Engga bisa di verifikasi,2023-03-24 15:32:28
Hendrasaky Tan,1,Verifikasi wajahnya menyusahkannnn. Gagal² terus wasyuuuu,2023-03-24 15:18:11
Yusland chaneel,5,Baik,2023-03-24 15:17:44
wahyu pamungkas,1,Kdnapa agak lemot terus yah,2023-03-24 14:38:51
ARAFAH X-CHEF,1,Dalam 4 bulan terakhir sudah 3x aku harus melakukan verifikasi ulang... Ini sangat merepotkan.,2023-03-24 14:29:23
Bagas Gaul,2,Kenapa saya tidak bisa daftar mbanking . Saat di tlpn pasti koneksi buruk padahal jaringan baik2 saja,2023-03-24 14:24:37
indahwidiyastuti widiyastuti,5,suka sekali,2023-03-24 14:17:16
Ivy Gunawan,1,sulit untuk melakukan verifikasi ktp & foto di aplikasi. mohon perbaikannya.,2023-03-24 14:13:39
Rangga 182,1,Astagah sekarang malah makin ribet verifikasi wajah gagal terus padahal udah sesuai intruksi applikasi... BCA TOLONG LAH padahal sudah hubungi ke hallo bca juga masih gak bisa... Anjinh,2023-03-24 14:11:52
Adi Prasetyo,1,Minta otp sulit banget 3x tidak dikirim ... Gimana sih ..,2023-03-24 13:52:28
Akbar cell,5,Untuk pembayaran digital belum ada ya???,2023-03-24 13:28:37
Tata Prasetyo,1,"Sekarang kok makin susah yak,pakai foto wajah lagi,.,udah 3x gagal terus,harus ke cabang terdekat lagi,tolong di perbaiki lagi dong,biar nyaman di gunakan",2023-03-24 13:26:23
Karina Citra,1,Disaat darurat mau ngecek saldo atau transferan selalu merah indikator .. chat online dengan pihak BCA di bilang nya harus stabil kan jaringan jangan menggunakan WiFi . Tidak menggunakan WiFi saja jaringan tidak stabil .. banyak yang pakai apk ini dan banyak nasabah di bank ini tapi kenyamanan nasabah tidak dipikirkan .. tolong ditingkatkan lagi untuk apk ini .,2023-03-24 13:14:22
Rizal Muttaqin,5,Transfer sesama min Rp1 kapan min katanya di bulan maret,2023-03-24 13:13:00
Hendra Wijaya,1,"Hadeh hp yg satu rusak, pas pindah ke hape yg satu, malah ribet Ama verifikasi data. Kalo belom bisa, or fix penyesuaian verifikasi data jgn digunakan dulu, bikin ribet nasabah aje... Gak semua org sempet ke kantor cabang, belom lagi ngantri ataupun yg lain... Gegara kasus pejabat polisi ketangkap kenape jadi semua kena imbas",2023-03-24 12:51:06
Ari Rangga,5,Klo kk gimana biar GK kebelokir lgi,2023-03-24 12:41:53
Teguh Hariono,1,"Ngeri2 sedap skrg, ganti device atau install ulang harus verifikasi scan foto ktp dan scan wajah. Wihh ngeri...takut disalahgunakan bisa amsyong. Jd kubatalin pasang aplikasi ini. Cari aman aja, bolak balik kantor bca aja 🙈🙉🙊",2023-03-24 12:32:28
Rendi hermawan Hermawan,1,"Sangat buruk dan jelek,karena susah buat di aksesnya",2023-03-24 12:30:29
Rendi Sumahe,1,Kenapa proses verifikasi sudah benar tapi selalu gagal terus sampek sekarang Bener bener bikin kesel,2023-03-24 12:19:15
Kenan Nugroho,5,Bca Verivikasi Wajah Malah MEMPERSULIT BODOH. Yang gampang di persulit .. menyusahkan pengguna.. terimakasih,2023-03-24 12:01:43
Angelia Rafe Yarli,1,HATIHATI SM BANK BCA SEKARANG UANG SUKA AUTODEBET TANPA INFORMASI KE NASABAH. KITA CALL CENTER TIDAK ADA PENYELESAIAN,2023-03-24 11:44:09
