username,content,sentiment,token,stem
CacingWormy, kata siapa ada tekanan hebat kenapa sekarang ada kasus t di kemenkeu kpk gak ngambil kasus itu terus kalo seandainya gak ada kasus penganiayaan david apakah kpk bisa nangkep rafael selama ini kpk ngapain aja,Positif,"['tekanan', 'hebat', 't', 'kemenkeu', 'kpk', 'gak', 'mengambil', 'seandainya', 'gak', 'penganiayaan', 'david', 'kpk', 'nangkep', 'rafael', 'kpk', 'sedang apa']","['tekan', 'hebat', 't', 'kemenkeu', 'kpk', 'gak', 'ambil', 'anda', 'gak', 'aniaya', 'david', 'kpk', 'nangkep', 'rafael', 'kpk', 'sedang apa']"
AaGemss, mau menarik simpati umat islam gak gini caranya bro haha kemenkeu ini ibarat orang yang udah mau tenggelam apa aja dipegang dan dilakuin biar bisa selamat ,Negatif,"['menarik', 'simpati', 'umat', 'islam', 'gak', 'gini', 'saudara laki-laki', 'tertawa', 'kemenkeu', 'orang', 'tenggelam', 'dipegang', 'dilakuin', 'biar', 'selamat']","['tarik', 'simpati', 'umat', 'islam', 'gak', 'gin', 'saudara laki', 'tertawa', 'kemenkeu', 'orang', 'tenggelam', 'pegang', 'dilakuin', 'biar', 'selamat']"
AchilDawn, dulu saya respect liat abangda tp dah nyerang pribadi hilang smua respectnya kalau abang tau ada korupsi di esdm atau kemenkeu kenapa juga ga abang bersuara lantang di kpk tanpa hrs tnggu dukungan bang didu ada apa dengan abang fh,Negatif,"['respect', 'lihat', 'abangda', 'deh', 'serang', 'pribadi', 'hilang', 'smua', 'respectnya', 'abang', 'korupsi', 'esdm', 'kemenkeu', 'ga', 'abang', 'bersuara', 'lantang', 'kpk', 'tnggu', 'dukungan', 'bang', 'didu', 'abang', 'fh']","['respect', 'lihat', 'abangda', 'deh', 'serang', 'pribadi', 'hilang', 'smua', 'respectnya', 'abang', 'korupsi', 'esdm', 'kemenkeu', 'ga', 'abang', 'suara', 'lantang', 'kpk', 'tnggu', 'dukung', 'bang', 'didu', 'abang', 'fh']"
dmtrowo, lha ada kasus oknum kemenkeu masalahe neng perilaku maling e kok yg disosialisasikan jangan hedon jangan flexing moso logikane ngono,Negatif,"['lha', 'oknum', 'kemenkeu', 'masalahe', 'neng', 'perilaku', 'maling', 'e', 'disosialisasikan', 'hedon', 'flexing', 'logikane', 'ngono']","['lha', 'oknum', 'kemenkeu', 'masalahe', 'neng', 'perilaku', 'maling', 'e', 'sosialisasi', 'hedon', 'flexing', 'logikane', 'ngono']"
Pitoeng206, yg pas kasus pengobatan daviddia nyaranin berobat ke singapurabiaya pengobatannya karna ini darirat ditalangin dulu ama kemenkeu nanti dibicarakan dengan pihak mario pernyataan ini mercerminkankegoblokan yg paripurna,Negatif,"['pas', 'pengobatan', 'daviddia', 'nyaranin', 'berobat', 'singapurabiaya', 'pengobatannya', 'darirat', 'ditalangin', 'kemenkeu', 'dibicarakan', 'mario', 'pernyataan', 'mercerminkankegoblokan', 'paripurna']","['pas', 'obat', 'daviddia', 'nyaranin', 'obat', 'singapurabiaya', 'obat', 'darirat', 'ditalangin', 'kemenkeu', 'bicara', 'mario', 'nyata', 'mercerminkankegoblokan', 'paripurna']"
NFaisal07, susah amat sih minta bukti aja ke ppatk rafael alun dan pegawai kemenkeu t aja cepat kok dapat bukti dari ppatk apalagi skrg pak mahfud koordinator yg membawahi ppatk,Negatif,"['susah', 'sih', 'bukti', 'ppatk', 'rafael', 'alun', 'pegawai', 'kemenkeu', 't', 'cepat', 'bukti', 'ppatk', 'skrg', 'mahfud', 'koordinator', 'membawahi', 'ppatk']","['susah', 'sih', 'bukti', 'ppatk', 'rafael', 'alun', 'pegawai', 'kemenkeu', 't', 'cepat', 'bukti', 'ppatk', 'skrg', 'mahfud', 'koordinator', 'bawah', 'ppatk']"
HaderaH4, super betul pak usul saja klw bs intenskan pengawasan sapatau sj ada mmmm sprti yg dialami kemenkeu,Positif,"['super', 'usul', 'intenskan', 'pengawasan', 'sapatau', 'mmmm', 'dialami', 'kemenkeu']","['super', 'usul', 'intens', 'awas', 'sapatau', 'mmmm', 'alami', 'kemenkeu']"
fuadhsn, berdasarkan edaran kemenkeu ada kenaikan thr untuk guru dan dosendimana ditahun sebelumnya dalam thr tidak memasukkan tunjangan profesi tahun ini memasukkan tunjangan profesi meskipun ,Negatif,"['berdasarkan', 'edaran', 'kemenkeu', 'kenaikan', 'thr', 'guru', 'dosendimana', 'ditahun', 'thr', 'memasukkan', 'tunjangan', 'profesi', 'memasukkan', 'tunjangan', 'profesi']","['dasar', 'edar', 'kemenkeu', 'naik', 'thr', 'guru', 'dosendimana', 'tahun', 'thr', 'masuk', 'tunjang', 'profesi', 'masuk', 'tunjang', 'profesi']"
AuslanderDon,kemenkeu kominfo esdm bpkp,Positif,"['kemenkeu', 'kominfo', 'esdm', 'bpkp']","['kemenkeu', 'kominfo', 'esdm', 'bpkp']"
ViezIkmar, formula e terus di ributinsementara kasus t di kemenkeu di suruh stop,Positif,"['formula', 'e', 'ributinsementara', 't', 'kemenkeu', 'suruh', 'stop']","['formula', 'e', 'ributinsementara', 't', 'kemenkeu', 'suruh', 'stop']"
Duke_of_Nowhere, sarjana cuma dikasih ratusan ribu sedangkan anak lulusan diploma stan yg notabene ilmunya ga setinggi sarjana yg kerja di becuk pajak dan kemenkeu gajinya di atas itu,Positif,"['sarjana', 'dikasih', 'ratusan', 'ribu', 'anak', 'lulusan', 'diploma', 'stan', 'notabene', 'ilmunya', 'ga', 'sarjana', 'kerja', 'becuk', 'pajak', 'kemenkeu', 'gajinya']","['sarjana', 'kasih', 'ratus', 'ribu', 'anak', 'lulus', 'diploma', 'stan', 'notabene', 'ilmu', 'ga', 'sarjana', 'kerja', 'becuk', 'pajak', 'kemenkeu', 'gaji']"
banten02, kemenkeu ga berani sidak perusahaan cungko bata ringan di cikande unfaedah,Positif,"['kemenkeu', 'ga', 'berani', 'sidak', 'perusahaan', 'cungko', 'bata', 'ringan', 'cikande', 'unfaedah']","['kemenkeu', 'ga', 'berani', 'sidak', 'usaha', 'cungko', 'bata', 'ringan', 'cikande', 'unfaedah']"
agent_pin, kalau ga ada kasus mario aniaya david ozora mungkin hal bgni ga terungkap sbnrnya kemenkeu itu ada menterinya ga kl mmg ada bgm bentuk pengawasannya ,Positif,"['ga', 'mario', 'aniaya', 'david', 'ozora', 'bgni', 'ga', 'terungkap', 'sbnrnya', 'kemenkeu', 'menterinya', 'ga', 'mmg', 'bgm', 'bentuk', 'pengawasannya']","['ga', 'mario', 'aniaya', 'david', 'ozora', 'bgni', 'ga', 'ungkap', 'sbnrnya', 'kemenkeu', 'menteri', 'ga', 'mmg', 'bgm', 'bentuk', 'awas']"
KemenkeuRI,inflasi harga pangan bergejolak volatile food juga turun signifikan maret yoy februari yoy harga dan ketersediaan pangan akan terus dimonitor pemerintah pusat dan daerah,Positif,"['inflasi', 'harga', 'pangan', 'bergejolak', 'volatile', 'food', 'turun', 'signifikan', 'maret', 'yoy', 'februari', 'yoy', 'harga', 'ketersediaan', 'pangan', 'dimonitor', 'pemerintah', 'pusat', 'daerah']","['inflasi', 'harga', 'pangan', 'gejolak', 'volatile', 'food', 'turun', 'signifikan', 'maret', 'yoy', 'februari', 'yoy', 'harga', 'sedia', 'pangan', 'monitor', 'perintah', 'pusat', 'daerah']"
CaturRp, abis kemenkeu sekarang ganti kemenkes aduh cuannya ga pernah kering ,Negatif,"['habis', 'kemenkeu', 'ganti', 'kemenkes', 'aduh', 'cuannya', 'ga', 'kering']","['habis', 'kemenkeu', 'ganti', 'kemenkes', 'aduh', 'cuannya', 'ga', 'kering']"
thrashnotdead, anaknya org kemenkeu beacukai ada ga yg bisa berprestasi seperti ini ga da sih kyknya semua taunya ngabisin duit negara doank,Negatif,"['anaknya', 'orang', 'kemenkeu', 'beacukai', 'ga', 'berprestasi', 'ga', 'da', 'sih', 'kyknya', 'taunya', 'ngabisin', 'duit', 'negara', 'doank']","['anak', 'orang', 'kemenkeu', 'beacukai', 'ga', 'prestasi', 'ga', 'da', 'sih', 'kyknya', 'tau', 'ngabisin', 'duit', 'negara', 'doank']"
c_zhepank, conflict of interest kan buat pegawai pajakkemenkeu yg punya akses kewenangan asn lain kan ga ada jadi harusnya boleh aja,Positif,"['conflict', 'of', 'interest', 'pegawai', 'pajakkemenkeu', 'akses', 'kewenangan', 'asn', 'ga']","['conflict', 'of', 'interest', 'pegawai', 'pajakkemenkeu', 'akses', 'wenang', 'asn', 'ga']"
PowerInvestindo, gerombolan perampok uang negara dg sadis menyamar menjadi pejabat bumn ,Negatif,"['gerombolan', 'perampok', 'uang', 'negara', 'dg', 'sadis', 'menyamar', 'pejabat', 'bumn']","['gerombol', 'rampok', 'uang', 'negara', 'dg', 'sadis', 'samar', 'jabat', 'bumn']"
bgenkstatham, keknya inspektorat kemenkeu harus diperiksa kerjanya nih mengingat betapa kacau sistem talent management nya karena orang sebodoh ini bisa jadi pejabat statementnya macam org ga beradab dan ga sekolah,Negatif,"['kayaknya', 'inspektorat', 'kemenkeu', 'diperiksa', 'kerjanya', 'betapa', 'kacau', 'sistem', 'talent', 'management', 'nya', 'orang', 'sebodoh', 'pejabat', 'statementnya', 'orang', 'ga', 'beradab', 'ga', 'sekolah']","['kayak', 'inspektorat', 'kemenkeu', 'periksa', 'kerja', 'betapa', 'kacau', 'sistem', 'talent', 'management', 'nya', 'orang', 'bodoh', 'jabat', 'statementnya', 'orang', 'ga', 'adab', 'ga', 'sekolah']"
Putrabertuah, pejabat kemenkeu tajir yahanya ada di negeri kodok,Positif,"['pejabat', 'kemenkeu', 'kaya', 'yahanya', 'negeri', 'kodok']","['jabat', 'kemenkeu', 'kaya', 'yahanya', 'negeri', 'kodok']"
JogeloJomrono, kapan ya si firli ini disambar petir orang kok kelakuannya busuk banget kasus yg terang benderang dana covid kci yg duitnya bengkak food estate yg mangkrak t di kemenkeu ektp harun masiku layak dibubarkan,Negatif,"['iya', 'si', 'firli', 'disambar', 'petir', 'orang', 'kelakuannya', 'busuk', 'banget', 'terang', 'benderang', 'dana', 'covid', 'kci', 'duitnya', 'bengkak', 'food', 'estate', 'mangkrak', 't', 'kemenkeu', 'ektp', 'harun', 'masiku', 'layak', 'dibubarkan']","['iya', 'si', 'firli', 'sambar', 'petir', 'orang', 'laku', 'busuk', 'banget', 'terang', 'benderang', 'dana', 'covid', 'kci', 'duit', 'bengkak', 'food', 'estate', 'mangkrak', 't', 'kemenkeu', 'ektp', 'harun', 'mas', 'layak', 'bubar']"
mutajir_mohamat, periksa sekjen kemenkeu pak non aktifkan sm direksi dan pns yg terlibat pencucian uang pak negara darurat korupsi,Positif,"['periksa', 'sekjen', 'kemenkeu', 'non', 'aktifkan', 'sm', 'direksi', 'pns', 'terlibat', 'pencucian', 'uang', 'negara', 'darurat', 'korupsi']","['periksa', 'sekjen', 'kemenkeu', 'non', 'aktif', 'sm', 'direksi', 'pns', 'libat', 'cuci', 'uang', 'negara', 'darurat', 'korupsi']"
SaifuddinSay, bersihin kemenkeu dari sri mulyani menteri yg ternyata rumahnya penuh koruptor dan maling pajak ini yang pas,Negatif,"['bersihin', 'kemenkeu', 'sri', 'mulyani', 'menteri', 'rumahnya', 'penuh', 'koruptor', 'maling', 'pajak', 'pas']","['bersihin', 'kemenkeu', 'sri', 'mulyani', 'menteri', 'rumah', 'penuh', 'koruptor', 'maling', 'pajak', 'pas']"
heero52218780, thun kmren pajak sampe melebuhi ada target pns kemenkeu dpt bonus kok skrg thr d potong mbulet bgt,Negatif,"['thun', 'kmren', 'pajak', 'melebuhi', 'target', 'pns', 'kemenkeu', 'bonus', 'skrg', 'thr', 'potong', 'mbulet', 'banget']","['thun', 'kmren', 'pajak', 'lebuh', 'target', 'pns', 'kemenkeu', 'bonus', 'skrg', 'thr', 'potong', 'mbulet', 'banget']"
heero52218780, katanya tahun kmren pencapaian pajak banyak sampe bagus bonus mbulet ini kemenkeu,Negatif,"['kmren', 'pencapaian', 'pajak', 'bagus', 'bonus', 'mbulet', 'kemenkeu']","['kmren', 'capai', 'pajak', 'bagus', 'bonus', 'mbulet', 'kemenkeu']"
jatmiko_arik, maklum ditjen pajak dan menkeu kan rakus semuanya orangnya kerja cuman makan tidur tapi gaji selangit cuman di di kemenkeu ,Negatif,"['maklum', 'ditjen', 'pajak', 'menkeu', 'rakus', 'orangnya', 'kerja', 'cuman', 'makan', 'tidur', 'gaji', 'selangit', 'cuman', 'kemenkeu']","['maklum', 'ditjen', 'pajak', 'menkeu', 'rakus', 'orang', 'kerja', 'cuman', 'makan', 'tidur', 'gaji', 'langit', 'cuman', 'kemenkeu']"
couoUmild, min bisa tolong jelaskan transaksi janggal triliun di kemenkeu,Positif,"['min', 'tolong', 'transaksi', 'janggal', 'triliun', 'kemenkeu']","['min', 'tolong', 'transaksi', 'janggal', 'triliun', 'kemenkeu']"
Jhon20674090, kalau di total nggak nyampe t bandingkan yg kebongkar kemenkeu t bro,Positif,"['total', 'nyampe', 't', 'bandingkan', 'kebongkar', 'kemenkeu', 't', 'saudara laki-laki']","['total', 'nyampe', 't', 'banding', 'bongkar', 'kemenkeu', 't', 'saudara laki']"
muhsinsukandar6, sudah diperdebatkan di dprri tajam terbuka pr komentator tdk lbh sedetail koreksi sanggahan pr anggota dwn komisi tiga dprri dn belum selesai masih bnyk yg percaya kejanggalan itu ada bkn kemenkeu ri tentunya para oknum hongkong jg mengalami dmkian,Positif,"['diperdebatkan', 'dprri', 'tajam', 'terbuka', 'pr', 'komentator', 'lbh', 'sedetail', 'koreksi', 'sanggahan', 'pr', 'anggota', 'dwn', 'komisi', 'dprri', 'dn', 'selesai', 'percaya', 'kejanggalan', 'kemenkeu', 'ri', 'oknum', 'hongkong', 'mengalami', 'dmkian']","['debat', 'dprri', 'tajam', 'buka', 'pr', 'komentator', 'lbh', 'detail', 'koreksi', 'sanggah', 'pr', 'anggota', 'dwn', 'komisi', 'dprri', 'dn', 'selesai', 'percaya', 'janggal', 'kemenkeu', 'ri', 'oknum', 'hongkong', 'alami', 'dmkian']"
bgdngterus,huwaa pingin cepet desember mau apply magang kemenkeu n telkom ,Positif,"['huwaa', 'pingin', 'cepat', 'desember', 'apply', 'magang', 'kemenkeu', 'telekomunikasi']","['huwaa', 'pingin', 'cepat', 'desember', 'apply', 'magang', 'kemenkeu', 'telekomunikasi']"
OpletDaily,admin twitter beacukai amp kemenkeu djp semoga kalian diberikan kesabaran yang luas ya di bulan suci ramadhan ini ,Positif,"['admin', 'twitter', 'beacukai', 'amp', 'kemenkeu', 'djp', 'semoga', 'kesabaran', 'luas', 'iya', 'suci', 'ramadhan']","['admin', 'twitter', 'beacukai', 'amp', 'kemenkeu', 'djp', 'moga', 'sabar', 'luas', 'iya', 'suci', 'ramadhan']"
pencetanlift, admn sy lapor spt keterangan lebih bayar sy ditelpon pegawai pajak katanya tambahin aja nilai di penghasilan dalam negeri ditambah juta katanya bendahara gaji salah penginputan pemotongan pajak sy konfirmasi ke kemenkes dijwb dpt spt dari kemenkeumhn solusiny ,Positif,"['admn', 'lapor', 'keterangan', 'bayar', 'ditelpon', 'pegawai', 'pajak', 'tambahin', 'nilai', 'penghasilan', 'negeri', 'ditambah', 'juta', 'bendahara', 'gaji', 'salah', 'penginputan', 'pemotongan', 'pajak', 'konfirmasi', 'kemenkes', 'dijwb', 'kemenkeumhn', 'solusiny']","['admn', 'lapor', 'terang', 'bayar', 'telpon', 'pegawai', 'pajak', 'tambahin', 'nilai', 'hasil', 'negeri', 'tambah', 'juta', 'bendahara', 'gaji', 'salah', 'penginputan', 'potong', 'pajak', 'konfirmasi', 'kemenkes', 'dijwb', 'kemenkeumhn', 'solusiny']"
sebulatbumi, dananya mandeg di kemenkeu pipa saluran mampet udah susah ngalir kemana,Negatif,"['dananya', 'mandeg', 'kemenkeu', 'pipa', 'saluran', 'mampet', 'susah', 'ngalir', 'kemana']","['dana', 'mandeg', 'kemenkeu', 'pipa', 'salur', 'mampet', 'susah', 'ngalir', 'mana']"
MOSLEMSOLIDARI1, sibuk dengan kasus cuci uang sibuk nyuci minyak kok miripx ya sam maaf pertanyaan sontoloyo ,Negatif,"['sibuk', 'cuci', 'uang', 'sibuk', 'nyuci', 'minyak', 'miripx', 'iya', 'sam', 'maaf', 'sontoloyo']","['sibuk', 'cuci', 'uang', 'sibuk', 'nyuci', 'minyak', 'miripx', 'iya', 'sam', 'maaf', 'sontoloyo']"
exeroboto, david jadi pahlawan terkuaknya keganjilan t di kemenkeu,Positif,"['david', 'pahlawan', 'terkuaknya', 'keganjilan', 't', 'kemenkeu']","['david', 'pahlawan', 'kuak', 'ganjil', 't', 'kemenkeu']"
kedondong2288, itu yg jadi pertanyaan saya juga kenapa bumn dan persh swasta harus mencari komisaris dari pejabat kemenkeu apa untuk backing,Positif,"['bumn', 'persh', 'swasta', 'mencari', 'komisaris', 'pejabat', 'kemenkeu', 'backing']","['bumn', 'persh', 'swasta', 'cari', 'komisaris', 'jabat', 'kemenkeu', 'backing']"
t00mucht00young,orang kemenkeu bayar pake keuris kalo kemenq pake qris,Positif,"['orang', 'kemenkeu', 'bayar', 'pakai', 'keuris', 'kemenq', 'pakai', 'qris']","['orang', 'kemenkeu', 'bayar', 'pakai', 'uris', 'kemenq', 'pakai', 'qris']"
mase_aga, apalagi bpkp juga bagian dari kemenkeu yang kinerjanya sedang hangat disorot akibat kasus rat padahal polemik krl impor ini bisa jadi momentum buat mengangkat citra kementerian sayang kesempatannya justru dilepas dengan mengambil sudut pandang yang berbeda,Positif,"['bpkp', 'kemenkeu', 'kinerjanya', 'hangat', 'disorot', 'akibat', 'rat', 'polemik', 'krl', 'impor', 'momentum', 'mengangkat', 'citra', 'kementerian', 'sayang', 'kesempatannya', 'dilepas', 'mengambil', 'sudut', 'pandang', 'berbeda']","['bpkp', 'kemenkeu', 'kerja', 'hangat', 'sorot', 'akibat', 'rat', 'polemik', 'krl', 'impor', 'momentum', 'angkat', 'citra', 'menteri', 'sayang', 'sempat', 'lepas', 'ambil', 'sudut', 'pandang', 'beda']"
verdian90, secara tidak langsung pengorbanan davit ats ijin allah terbuka skandal kemenkeu t di tanah air semoga cepat sembuh bro,Positif,"['langsung', 'pengorbanan', 'davit', 'ats', 'ijin', 'allah', 'terbuka', 'skandal', 'kemenkeu', 't', 'tanah', 'air', 'semoga', 'cepat', 'sembuh', 'saudara laki-laki']","['langsung', 'korban', 'davit', 'ats', 'ijin', 'allah', 'buka', 'skandal', 'kemenkeu', 't', 'tanah', 'air', 'moga', 'cepat', 'sembuh', 'saudara laki']"
NeilZurong, buat rat kasus biasa buat rakyat indonesia kasus yg luar biasakarena mampu mengungkap keserakahan dan kebusukan suatu instansi dan oknum di kemenkeu,Positif,"['rat', 'rakyat', 'indonesia', 'biasakarena', 'mengungkap', 'keserakahan', 'kebusukan', 'instansi', 'oknum', 'kemenkeu']","['rat', 'rakyat', 'indonesia', 'biasakarena', 'ungkap', 'serakah', 'busuk', 'instansi', 'oknum', 'kemenkeu']"
bayurimbiasmoro, ciri lembaga negara urusan duit kemenkeu tidak baik² saja adalah kolom komentar ig smi dibatasi dia lagi gak nerima komentar dari orang rakyat yg bayarin gaji dia gimana ini pak bawahannya kok gitu rakyat butuh kasi kritik amp saran tanda kepedulian,Positif,"['ciri', 'lembaga', 'negara', 'urusan', 'duit', 'kemenkeu', 'baik²', 'kolom', 'komentar', 'ig', 'smi', 'dibatasi', 'gak', 'nerima', 'komentar', 'orang', 'rakyat', 'bayarin', 'gaji', 'bawahannya', 'gitu', 'rakyat', 'butuh', 'kasi', 'kritik', 'amp', 'saran', 'tanda', 'kepedulian']","['ciri', 'lembaga', 'negara', 'urus', 'duit', 'kemenkeu', 'baik', 'kolom', 'komentar', 'ig', 'smi', 'batas', 'gak', 'nerima', 'komentar', 'orang', 'rakyat', 'bayarin', 'gaji', 'bawah', 'gitu', 'rakyat', 'butuh', 'kasi', 'kritik', 'amp', 'saran', 'tanda', 'peduli']"
bayurimbiasmoro, ciri lembaga negara urusan duit kemenkeu tidak baik² saja adalah kolom komentar ig smi dibatasi dia lagi gak nerima komentar dari orang rakyat yg bayarin gaji dia gimana ini pak bawahannya kok gitu rakyat butuh kasi kritik amp saran tanda kepedulian,Positif,"['ciri', 'lembaga', 'negara', 'urusan', 'duit', 'kemenkeu', 'baik²', 'kolom', 'komentar', 'ig', 'smi', 'dibatasi', 'gak', 'nerima', 'komentar', 'orang', 'rakyat', 'bayarin', 'gaji', 'bawahannya', 'gitu', 'rakyat', 'butuh', 'kasi', 'kritik', 'amp', 'saran', 'tanda', 'kepedulian']","['ciri', 'lembaga', 'negara', 'urus', 'duit', 'kemenkeu', 'baik', 'kolom', 'komentar', 'ig', 'smi', 'batas', 'gak', 'nerima', 'komentar', 'orang', 'rakyat', 'bayarin', 'gaji', 'bawah', 'gitu', 'rakyat', 'butuh', 'kasi', 'kritik', 'amp', 'saran', 'tanda', 'peduli']"
BacotCook, wewenang kemenkeu saking gedenya seolah olah semua mengeluhnya harus ke kemenkeu kayaknya memang harus dipisah antara penerimaan pengelola anggaran sama penentu kebijakan gak boleh semua di bawah kemenkeu jadi lebih jelas ke masyarakat,Positif,"['wewenang', 'kemenkeu', 'saking', 'gedenya', 'olah', 'mengeluhnya', 'kemenkeu', 'kayaknya', 'dipisah', 'penerimaan', 'pengelola', 'anggaran', 'penentu', 'kebijakan', 'gak', 'kemenkeu', 'masyarakat']","['wewenang', 'kemenkeu', 'saking', 'gede', 'olah', 'keluh', 'kemenkeu', 'kayak', 'pisah', 'terima', 'kelola', 'anggar', 'tentu', 'bijak', 'gak', 'kemenkeu', 'masyarakat']"
